ulasan,sentiment_label
"batas perpanjangannya tgl 5, tapi tgl 4 tengah malem tbtb kesedot perpanjang. Tolong kembalikan saya ga ikhlas!",negative
"Banyak bug, jelek. Uninstall",negative
"Udh berpa hari mau login ga bsa, ga bisa terima Kode OTP nya ga masuk2, mnta lwat telpon jga ga bsa, coba pake nomor yg lain pun tetap ga bisa. Tolong di perbaiki",negative
"Busuk mau lengganan aja susah,mau nonton di google tv juga susah.",negative
"Menyesal beli paket langganan di aplikasi ini, baru bayar udh GK bsa nonton filmnya lalu saat mau login sulit sekali karena kode vertifikasi tidak dikirim2. Mengecewakan.",negative
Susah untuk login,negative
"Susah login,kode tidak di kirim lewat sms,lewat call juga tidak ada ada apa dengan apps ini,coba mehubungi lewat email tentang trouble login,sampai sekarang belum ada tanggapan,itu fitur help email kalo gak kepake di hapus saja..sebel kita bayar pake duit buat berlangganan bukan pake daun",negative
"Tidak bisa login karena Kode verifikasi tidak masuk² alhasil percuma langganan kalo gk bisa login , kecewa!!!!",negative
Bagussss,positive
Aneh gak bisa nonton loading terus,negative
Drakor nya dibanyakin lagi,positive
"Saya sudah bayar langganan melalui my telkomsel, tetapi pas mau masuk ke app ny malah disuruh bayar lagii, saya email ke pihak disney ny malah suruh info ke pihak telkomsel, sy konfirm ke pihak telkomsel malah di suruh konfirm ke pihak disney, sy email lagi ke pihak disney bahwa pihak telkomsel suruh konfirm lagi ke pihak disney, malah pihak disney suruh konfirm lagi ke pihak telkomsel, sangat2 kecewa",negative
"Keren ni apk,iseng iseng coba download mumpung pakai Telkomsel eh malah dapat 1 bulan langganan wkwk",positive
Udah beli paket streaming pas mau login susah banget sampe satu jam otp ga ada yang masuk dah keburu ga mood nonton dari dulu mau login akun saya dipersulit makan tu bintang 1 kesel saya,negative
Aplikasi nonton paling RIBET,positive
"Gabisa log in ,gada pesan otp verivikasi ke sms.",positive
"Eror kode PL-1100, trus otp susah diterima, padahal pulsa, setingannya juga baik. Kecewa, padahal udah berlangganan",negative
JELEK!!!,negative
Suka ngelag. Padahal sinyal bagus,positive
Tidak bisa menerima kode otp,positive
Bagaimana cara unsubcride aplikasi gk berguna ini mana nomor csnya ? kok saya berlangganan otomatis tanpa persetujuan saya,negative
"knp saya gabisa login, saya sudah memasukan nomer saya dan tidak mendapatkan kode dari pihak Disney+, padahal sudah benar nomornya dan sudah pakai nomer yg ke 2 tetap saja gabisa",positive
Tidak bs diputar movie nya pas akhir bulan,negative
"Instal dan unistal tetap sama,susah login. OTP tidak masuk-masuk baik telpon maupun SMS. Selalu muncul notice percobaan maksimal telah tercapai, padai OTP tidak masuk-masuk. Sangat-sangat tidak memuaskan. Login di web juga sulit, OTP juga tidak masuk-masuk. Sia-sia bagi kita yang sudah berlangganan. Layanan kurang maksimal.",negative
"To much politics, lgbtq and woke, i miss old disney",negative
"Di HP lantjar Tapi di tv..sering delay.. ga bisa dipause, dimatiin..go back juga ga bisa.. padahal inetnya kalau dipake netfxxx lanjar tuh.. sampe anak.komen.. filmnya bagus tapi sering delay",positive
"Susah disambungkan ke TV,Kode OTP gak di SMS",negative
Siip,positive
pengiriman kode otp nya terlalu lama,positive
Susah login,negative
"Sudah beberapa kali kejadian saat nonton tiba tiba error videonya, udah keluar dari aplikasi lalu masuk lagi ke videonya, videonya gaada cuma ada suaranya doang. Tolong diperbaiki untuk bug yang satu ini karena sangat menyusahkan.",negative
"Apk nya kok gini, sy berlangganan untuk yang sebulan, baru kepake 2 hari setelah berlangganan kok malah disuruh berlangganan lagi, tolong ini diperbaiki.",positive
Bagus bangettt 😎😎😎😎👍👍👍👍👍,positive
"Mau login kok susah ya, gak dpt sms code",negative
Oke banget,positive
Keren,positive
Videomainporno,positive
Awesome ....😂🔥,positive
Akhhhh aku nyari ini dr dlu Akhir nya ketemu bisa kembaran sama kak jihannn,positive
"Kenapa tidak ada fitur PIP? *new: setahun setelah komentar di atas, tetapi masih belum ada fitur PIP? WAW....!!!???",negative
"Mohon di jawab min saya kan sudh berlangganan 1 bulan,udh habis tu kn waktu berlanggananya waktu udh habis kok malah di tagih lagi malah pembayaran di tolak saya coba di metoda mana pun ttp gk bisa mana dana saya belum di kembalikan tau gini gk ush berlangganan mohoon di balas minn",positive
"kenapa yah, sering banget dia ngefreez gitu, padahal jaringan ok",positive
Aplikasi nya lumayan bagus.,positive
Video tidak bisa dimainkan sama sekali padahal sudah berlangganan. Kecewa,negative
Mau berlangganan perbulan kok gk bisa yah. Padahal pulsa nya banyak. Knpa yah?,positive
Banyak varian film dan saya suka semua,positive
Apli kasi ok,positive
"Sering brmslh ketika pmutran trus tak ulang macet, bkin ngehang hp kudu di mulai ulang biar lancar,",positive
Aplikasi Disney+Hotstar sangat buruk dan jelek. Karena setelah berlangganan pasti aplikasi sering error dan restart ulang. Itu yg terjadi sama saya. Dan susah sekali di aplikasikan ke TV karena sering trouble Untungnya saya trial aplikasi cuma langganan 1 bulan. Sayang banget disini harus kasih bintang min 1 kalau bisa saya tidak kasih bintang.,negative
"Film Star Wars Bad Batch E2 S11, translate nya tidak cocok dengan film nya. Mohon ditinjau dan tidak terulang lagi",negative
Akun bapak kau,positive
"Saya selalu suka berlangganan Disney melalui My telkomsel karena memudahkan dengan promonya. Namun dengan sudah membeli paket 1 bulan dan berlangganan, ketika mengakses aplikasi TIDAK BISA karena diwajibkan berlangganan lagi. Lalu akses 1 bulan itu buat apa??? Saya sudah bayar!",positive
"Sebelumnya sih okey, baik"" Aja . Slalu berlangganan . Tapi kenapa dari minggu kemarin mulai eror lagi? :( padahal beli paket byu tuh supaya bisa sklian langganan disney:' jangan sampe saya uninstall lagi disney sampe sebulan karna eror terus 😌kesel sih,karna udah terbiasa nonton di disney sekalinya eror susah mau nonton film lagi . Ayo dong, perbaiki secepatnya min! Sayang nih,paket disneynya gak bisa di pake 😒 .",negative
Tolong untuk fil the greatest showman subtitles nya dibenerin soalnya kecepatan terimakasih,positive
Woah...two tumb App Ajib Bre...,positive
Loading mulu g bisa jln,positive
Saya setiap beli paket kuota By.U selalu dapat gratis langganan disney hotstar. Tapi ini saya download dan mau nonton malah disuruh langganan lagi,positive
Burik burik burik aplikasi apaan,positive
Sedikit kecewa Nonton di smart tv tidak ada pilihan resolusi seperti di handphone dan subtitle sedikit delay,negative
Saya sudah daftar berlangganan.. Tapi kok kuota masih ketarik yaa,positive
I want to login to my tablet and there is no code send...,negative
Aneh Aku mau Langganan Pake Via pulsa udah isi 40Rivu kenapa Gak bisa ya,positive
Ko lag banget si udah bayar bayar aplikasi nya juga burik da 1080 tapi masi burik kecewa,negative
Bagus aku langganan,positive
Saya mau masuk pakai nomer. Tapi kodenya gak dapat,positive
Knpa video yang udah di download gabisa di tonton,positive
"aplikasi licik, barusan berlangganan yang sebulan awalnya pas masih log in bisa, tapi pas di log out trs masuk lagi langsung gak bisa log in. ini apa maksudnya mau curang begini!!! udh dibayar tadi malah gak bisa log in.",negative
"Gimana nih udah berlangganan 1bulan awalnya lancar pas di logout in akunnya mau login lagi udah gabisa masuk lagi pake akun yg sama, tolong kebijakan nya dong percuma bayar belom nonton apa apa",positive
"Mantap udah di perbaiki sama teman Disney setelah 1 Minggu aplikasinya error ga bisa di tonton lewat WiFi,saya naikin lagi bintangnya ya",positive
Ko pket saya suda aktif masi d minta berbayar,positive
Mau donlop aplikasi wastk ok,positive
Mode audio English (Atmos) tidak bisa digunakan dan membuat aplikasi nge freeze,positive
"Berlangganan saya masih lama, kenapa suruh berlangganan lagi??!!!!!",positive
Tambahin fitur picture in picture dong min,positive
Otp tidak masuk.,positive
Bu,positive
Keren,positive
"Di smart TV gua (mn 1004 )mulu disney nya, kecewa bgt ama disney bnr' mending Netflix kmn' Mn udh ngikutin bnyk tutorial di youtube/google cara atasinya tapi semua usaha nihill. Ga lagi' deh berlangganan ama disney cukup satu bulan ini aja.",negative
Ini sangat membawa emosi karena selalu di suruh bayar game brengsek,negative
"Kok sekarang ngak bisa dibuka di PC atau laptop ya? Macet macet jalannya, sebentar sebentar berhenti. Padahal sebelum nya sangat bagus, tetapi setelah berlangganan 1 tahun, malah macet macet jadinya kalo dibuka di PC ato laptop. Mohon diperhatikan ya. Trims.",positive
Filmnya dikit,positive
Azmijihan2021,positive
"Untuk aplikasi nya awal awal nya bagus, cuma ada kendala bug di bagian langganan nya ... saya sudah membayar langganan per-bulan RP 39.000 melalui via dana, tetapi pada saat saya ingin menonton film Turning Red saya di minta untuk membayar langganan lagi, jadi saya mengeluarkan uang 2x lebih banyak hanya untuk langganan di aplikasi ini ... Entah hp saya yang ERROR atau jaringan saya yang pada saat itu juga sedang ERROR ... Tapi yang pasti bug yang seperti ini sangat membuat saya kecewa ... :<",negative
Baik,positive
Masukin film the lost of us min .. Bagus filmnya,positive
Sedikit bug,positive
Oppo 11 Pro,positive
"Bagaimana cara berhenti berlangganan dari Telkomsel, karena saya ada masih aktif di indihome 1 tahun. Ngapain sampai 2x bayar. Tolong bantuannya Telkomsel",positive
Nice,positive
"Katanya video nya bisa di donwload kalau sudah berlangganan, ehh nyatanya malah (pas di donwload malah loading mulu) gk bisa Padahal sudah berlangganan",positive
"This application make my phone crash and power off, fix your virus",negative
"Video Marvel banyak tidak ada, iron man 4, wonder woman, Superman dan lln, APUS aja aplikasi abisin uang aja bayar yang di cari tidak ada",positive
"Udah bagus shh,tapi tolong tambahkan film avatar the way off water dong pliss",positive
👍🏼👍🏼,positive
"Aplikasinya udh bagus si, tapi penggunaan data sangat besar, 1 video bisa sampai 1gb atau lebih",positive
yakali udh di full hd 1080p masih ngeblur,positive
Coba dulu,positive
Ini apk khusus yang berlangganan biar bisa nonton. Kalo ga berlangganan ga bakal bisa nonton. Jadi kalo mau instal jadi kalian ya harus siap berlangganan.,positive
Tidak bisa download ketika di klik hanya loading terus tapi tidak maju,positive
Bagus lebih bagus super bagussssssss😇,positive
"Videonya ngga bisa diputar dan di download, cuma keluar subtitle ny doang",negative
Sudah berlanggan tp malah keluar sendiri dr aplikiasi,positive
Kenapa dibatasin download nya??? Cuma bisa 5? Percuma dong berlangganan.,positive
"Terus terang, Disney+ Hotstar bagus... Sayangnya, mereka tidak bekerjasama lagi dengan Telkomsel 😭 Seandainya bisa ada pilihan beli paket gratis Disney+ lagi ..",positive
"hahay suka💌💌grafik videonya baguss, smooth bgt videonya, ga pricey, banyak kartun worth it 👍🏻👍🏻👍🏻👍🏻",positive
"Buruk,karna setiap kali mau nonton selalu gak bisa.tulisnya kesalahan memutar karena maslah apa qitu,tolonq donk di perbaiki.percuma donk bayar mahal² tapi qa bisa nonton,adanya jadi rugi.",negative
😀👍,positive
Mantul... Keluhan ditanggapi dngan cepat...,negative
Coba coba karna udh berlangganan 30 hari hhh,positive
Tolong untuk film lokalnya sering di perbarui dan film yg tidak senonoh supaya di hapus.,positive
Saya baru maumencoba kalau seperti yang saya inginkan,positive
Aplikasi bobrok!,positive
🥰🥰🥰🥰🥰🥰🥰,positive
"Aplikasi bagus dengan pilihan subtitle dan audio yang bagus, kalau yang lain bermasalah dan kasih ulasan jelek coba di cek lagi.. Karena saya nonton di android TV dan android mobile semua aman dan bagus",positive
Layanan yang bagus,positive
Oke,positive
Alasan utama untuk berlangganan itu untuk lihat series radhakrisna tapi sekarang udah nggak ada. Film² india yang dulu ada juga udah ilang. Jadi bye,positive
HAH,positive
Menurut ku bagus tpi setelah aku nginstal hp nya eror jdi tolong perbaiki ya tpi aku suka filem frozen,positive
Gak kenek di delok onok tulisan (PL-110),positive
"Benerin webnya soalnya sangat delay untuk subtitle, resolusi nya juga buruk",negative
"film bagus bagus, yang gabagus, aplikasi, dan juga servernya yang sampah",positive
Udah download tapi TDK bisa nonton gak bisa login,positive
Semua orang suka nonton di hotstar,positive
streaming nya macet gara gara fitur audio Atmos,negative
Aplikasi yg bagus,positive
Bagus nya sampai aku kasih bintang 5 😝,positive
Aplikasi nya sih sudah bagus cuman subtitle nya ngak bisa di hilangkan kan udah ada bahasa Indonesia nya jadi nonton ngak fokus ada subtitele nya coba adain pengaturan subtitle nya dan perbanyak lagi film nya dikit amat sih film nya masih banyak yang belum ada,positive
Untuk udah berlangganan 1 bulan malah mau buka yang premiumnya disuruh beli lagiii,positive
SwiftKey Flow,positive
Aplikasi ini bagus tapi sayang hp ke layar tv gk bisa semoga bisa di update sama developer,negative
Tidak bisa buka aplikasi menggunakan Wifi. Kenapa?,positive
Padahai aku sudah berlangganan tapi kenapa tidak bisa mendonwload,positive
"BAGUSS!! Disney untuk sekarang melebihi ekspektasi.. bagus banget udh bisa nandingi netflix si menurut gua malah nilai plusnya murah terus bekerja sama, sama Telkomsel lgi udh si ini pecah. Untuk aplikasinya sendiri jangan di ragukan, untuk experience nontonnya serasa di bioskop, audionya jga kalo make earphone.. Tolong yang kaya gini di pertahankan untuk kedepannya dan lagi jangan terlalu sering ada update kalo updatenya gak merubah apapun atau lebih buruk!! GOOD JOB untuk creator Disney+nya🔥",positive
Aku dimana,positive
Lumaya,positive
Ayet Akio bxhg rut dsxz bn mfhu sure mvpi djrt hfc nm lrfs bahdy Dkyt nciu rut hfg sa ki abxry,positive
Aplikasi sekelas Disney tapi seperti ini? Kemaren ketolong karena bundle dengan telkomsel aja.,positive
Buruk eror drm,negative
puas saya dengan tontonannya,positive
Kenapa disney saya tidak bisa ditonton ya terus menerus tertulis ada kesalahan dalam perangkat dll,positive
Hiburan di kala senja,positive
Assalamualaikum😍😍,positive
Ok,positive
"Saya tidak menerima kode otp, padahal nomor yang saya cantumkan sudah benar. Sudah saya coba berulang ulang tetap ga menerima kode otp. Jadi bagaimana ya? Mohon bantuannya.",positive
Gk bisa berlangganan,positive
Sudah berlanganan tetapi tidak bisa masuk dan menonton film jawaban eror,negative
Makasiii,positive
aqs,positive
"Aku ambil berlangganan per bulan, eh 4 hari berlangganan kok tiba- tibah udah gak berlangganan. Jadi rugi dong, terus dari pihak disney nya gak bertanggung jawab.",negative
✔️🤩! 🇨🇦🟠🐼🌟🌟🌟🌟🌟,positive
"aku udah berlangganan malah aplikasi error akun ke logout, login lagi kode verifikasi gk ada masuk,",negative
PALING BAGUS D.DUNIA APK INI🤣🤣,positive
"Kualitas video sudah diatur tiba"" turun sendiri, contoh youtube lah kalau udah diatur tetap di kualitas itu",positive
⭐⭐⭐⭐⭐,positive
"Masih belum lengkap, film dan juga seris korea.. 🤦🏻‍♂️",positive
apk rusak,negative
"Kualitas filmografi Disney hotstar sangat bagus. Efek pencahayaan, suara, animasi sangat halus. Saya pribadi mohon maaf memberi rating bintang satu karena beberapa film di Disney hotstar mengandung unsur LGBT, sehingga untuk pemirsa di Indonesia mungkin tidak begitu sesuai. Terutama jika membiarkan anak menontonnya. Mungkin Disney hotstar khusus di Indonesia bisa lebih di filter menghilangkan unsur LGBTnya. Terimakasih 🙏",positive
"Koleksi series oke, tapi speed download lama banget cuma 500 KB/d - 1,5 MB/d padahal pake WiFi rumah dan pakai paket data tetep lemot. Ganti DNS yang sering gw pake di Netflix sama prime kecepan oke, tapi di Disney+ malah stop. Hadeh.",positive
"Udah bayar, server banyak erornya, video gabisa diputar,",negative
"Anu, pas udah unduh offline beberapa film. Kok tiba-tiba pas saya setel offline malah loading ya ? Ini maksudnya gimana ? Padahal dah unduh offline saya.",positive
"Susah login, percuma sudah beli langganan juga",positive
Aplikasi sering erorr terus tolong di update biar ga erorr terus....,positive
1. Episode series acak-acakan tidak sesuai urutan 2. [ERR_PB_1413] terlalu sering muncul Rugi banget langganan setahun neh,negative
"suka g bisa muter videonya, g tau kenapa",positive
"Saya mau nonton di tab, gak bisa full layar, cuman bisa 1/4 layar, sama aja kayak nonton di hp. Cara bisa full layar di tab gimana???",positive
Kenapa sii video nya lama bgt ke puter pas buka di web min? Kdg pengen nntn dr leptop lama bgt pdhl udh pke wifi loh😭 kesel bgttttttt,negative
"Kenapa setiap mau play tertulis : ""Silakan mulai ulang perangkat anda dan coba lagi (PL-1100)"" Dah semua film aku coba putar tapi sama saja seperti itu. Mengecewakan padahal dah langganan sebulan tapi rugi ga bisa diputar semua. Padahal aku coba nonton film di apk lainnya lancar jaya. Tolong perbaiki. Atau minimal buat fitur chat cs supaya bisa ditindaklanjuti segera. Layanan berbayar kok error, mending unistall saja.",negative
Good,positive
"Bagus.....tapi tolong dong download nya bisa tanpa batas, gaenak kalo cuma bisa download 5 video di download tan, apalagi kalo yang didownload drakor saya harap itu saja dan semoga bisa ditambahkann pleaseee",positive
Gatau,positive
Kenapa saya tidak menerima sms atau telpon ketika login,positive
Force close,positive
"Gimana sih sering banget loading, padahal jaringan bagus dan lancar di aplikasi lain.",positive
can't streaming,positive
"Bagaimana bisa menikmati kalau selalu ngefrezze baik di handphone ataupun laptop. Buffering ngaco, padahal koneksi cepat. Udah gitu playernya sering ga responsif. Ampun. Kalau memang niat kerjasama ya developernya beneran bisa diandalkan jangan kek gini.",negative
Najis berbayar,positive
keep it up i love this app 🤩,positive
"Something went wrong, sudah uninstall download ulang tetep gak bisa, mohon di bantu min",negative
"sudah beli paket kuota, dan sudah termasuk berlanggan disney+ hotstar. tapi di pake login tidak bisa padahal sudah menerima kode otp",positive
Michet,positive
👹👺👹👺,positive
Aplikasi Sering Error,positive
Tidak dapat memutar vidio.,negative
Maaf ya saya kasih 3 ***dulu karena saya baru mencoba. Lain waktu saya beri full *****.,positive
mau nanya ini kode OTP nya dikirim via sms atau WA soalnya diketerangannya bakalan dikirimin kode OTP via sms tapi yang masuk via WA bahkan nomornya bukan dari akun resmi jadi agak takut gitu. apa emang kode OTPnya dikirim via WA?,negative
Aplikasi sangat lemot dan mudah crah saat si buka,positive
Tolong lah saya langganan di disny itu untuk mendapatkan film film terbaru saya liat liat film nya itu itu terus kalah sama link google udah update film terbaru,negative
Saya langganan sebulan masa bisa dipake. Hari aja? Ada soslusi ga?,positive
Bagus,positive
"Mohon info, akhir akhir ini kenapa tidak bisa memutar film... Terjadi buffering terus menerus...",positive
"SANGAT PELIT, GAK ADA FREE SAMA SEKALI. MASIH MENDING VIU. FILM FILM TERTENTU MASIH BISA DITONTON. DELETE SAJA APLIKASI INI.",negative
"Sering gangguan,sering tiba tiba ke log out dan gabisa log in lagi krn kode negara jadi +65 😫😫😫 sangat menyulitkan krn nomor hp yg didaftarkan dipegang sama sepupu, alhasil sering bgt ngehubungin sepupu buat minta kode buat masuk nya :(((( ayo Developer semangat lagi biar ga nyusahin user",negative
Ini saya berlangganan tp kenapa ga bisa ya udah gitu pulsa saya juga kepotong. Mau melakukan pengaduan kemana,negative
Tolong tambahkan kualitas tampilan video ukuran 360p dan 240p Setidaknya saya dapat berhemat kuota dengan resolusi video lebih kecil,positive
"Gak bisa liat film, errorkah ? Tolong perbaiki",negative
Ini yg salah apanya ya ?? Streaming bisa tp di download gagal ya,negative
Biking hp hang dan selalu ngebug,positive
"Film Marvel kurang lengkap,film laga,action juga kurang..semoga kedepannya makin banyak film min",positive
Keren,positive
Licik mao nonton harus bayar dulu parah ga wor it ini bgo,negative
skip.. Disney makin kesini makin ngga jelas... pendukung kaum sodom,positive
Haloo disney. Kenapa akhir2 ini sering ngebug yaa? Padahal wifi jg kenceng banget. Sampe kapan nih kaya gini terus? Udah coba notice di twitter dan ig tetep aja gaada respon. Sayang banget yg udah berlangganan harus kelewat ga nonton sehari padahal film dan drama yg ada di disney seru2 looh. Tolong laah dibantu perbaiki dengan cepat jangan kelamaan dengan masalah yg sama. Tolong di respon jg mau sampe kapan kita harus tunggu? Tengkyuuu,positive
